date,symbol,open,high,low,close,volume,volume USD
2018-05-16,XRPUSD,0.6911,0.7128,0.6601,0.707,14396006.64,9807927.69
2018-05-15,XRPUSD,0.7266,0.7485,0.68,0.6911,12871477.26,9257080.44
2018-05-14,XRPUSD,0.7289,0.75,0.691,0.7266,15591497.12,11271275.68
2018-05-13,XRPUSD,0.6842,0.7466,0.666,0.7289,12948920.96,9225624.63
2018-05-12,XRPUSD,0.6779,0.71,0.632,0.6842,18600245.46,12536543.61
2018-05-11,XRPUSD,0.748,0.7548,0.65,0.6779,38291356.2,26413089.56
2018-05-10,XRPUSD,0.7925,0.804,0.7448,0.748,11535602.46,9007230.3
2018-05-09,XRPUSD,0.8048,0.8166,0.7545,0.7925,12117224.25,9519089.55
2018-05-08,XRPUSD,0.8239,0.8448,0.79,0.8048,10277211.77,8348510.35
2018-05-07,XRPUSD,0.858,0.8617,0.8,0.8239,16239592.05,13294970.67
2018-05-06,XRPUSD,0.897,0.9097,0.839,0.858,13893499.16,12008879.15
2018-05-05,XRPUSD,0.8867,0.9224,0.8861,0.897,11257884.27,10177971.96
2018-05-04,XRPUSD,0.878,0.925,0.8529,0.8867,18202275.14,16241416.44
2018-05-03,XRPUSD,0.8562,0.89,0.8379,0.878,14300915.42,12416093.49
2018-05-02,XRPUSD,0.8345,0.865,0.8216,0.8562,12589534.74,10661375.98
2018-05-01,XRPUSD,0.8309,0.8389,0.7815,0.8345,14779374.78,11971649.43
2018-04-30,XRPUSD,0.8654,0.875,0.82,0.8309,8529145.88,7169986.75
2018-04-29,XRPUSD,0.8619,0.9062,0.825,0.8654,17119973.86,14839616.53
2018-04-28,XRPUSD,0.8049,0.89,0.7999,0.8619,18080659.52,15518170.44
