timestamp,date,symbol,open,high,low,close,volume
1528862400000,2018-06-13 04:00:00,ZECUSD,195.43,197.78,174.02,191.8,3874.61579072
1528776000000,2018-06-12 04:00:00,ZECUSD,205.79,212.0,189.91,195.43,2515.45330983
1528689600000,2018-06-11 04:00:00,ZECUSD,201.45,207.39,193.06,205.79,2802.60638155
1528603200000,2018-06-10 04:00:00,ZECUSD,218.0,226.31,198.0,201.45,2603.70575861
1528516800000,2018-06-09 04:00:00,ZECUSD,238.41,239.6,218.0,218.0,901.08362882
1528430400000,2018-06-08 04:00:00,ZECUSD,237.23,241.12,230.65,238.41,1197.24888716
1528344000000,2018-06-07 04:00:00,ZECUSD,238.99,239.84,232.3,237.23,1435.11129974
1528257600000,2018-06-06 04:00:00,ZECUSD,238.22,241.0,226.96,238.99,2055.70422991
1528171200000,2018-06-05 04:00:00,ZECUSD,231.36,241.02,227.0,238.22,2159.42919216
1528084800000,2018-06-04 04:00:00,ZECUSD,248.73,249.66,230.25,231.36,1735.55885941
1527998400000,2018-06-03 04:00:00,ZECUSD,249.74,259.14,248.24,248.73,868.51317216
1527912000000,2018-06-02 04:00:00,ZECUSD,240.44,258.0,239.89,249.74,785.71112102
1527825600000,2018-06-01 04:00:00,ZECUSD,238.49,241.25,234.03,240.44,709.97894407
1527739200000,2018-05-31 04:00:00,ZECUSD,239.5,248.18,237.58,238.49,1166.79988769
1527652800000,2018-05-30 04:00:00,ZECUSD,252.53,254.99,234.13,239.5,1476.66048266
1527566400000,2018-05-29 04:00:00,ZECUSD,230.04,261.56,219.0,252.53,2918.06800679
1527480000000,2018-05-28 04:00:00,ZECUSD,260.12,261.0,219.13,230.04,2971.08716263
1527393600000,2018-05-27 04:00:00,ZECUSD,264.62,265.85,258.01,260.12,874.67573554
1527307200000,2018-05-26 04:00:00,ZECUSD,276.49,284.99,263.51,264.62,850.41286849
